PROGRAM TYPE,PROGRAM,SITE NAME,BOROUGH / COMMUNITY,AGENCY,Contact Number,Grade Level / Age Group ,Location 1,Number and Street Address,Postcode,Latitude,Longitude,Community Board,Council District ,Census Tract,BIN,BBL,NTA
Runaway & Homeless Youth,Drop-In Center,SCO Drop In Center,Brooklyn,SCO Family of Services,718.384.7083,,"89 10th Street
Brooklyn, NEW YORK 11221
(40.672140908347, -73.994183928581)",89 South 10th Street,11221,40.708154,-73.965482,1,33,547,"3,059,666","3,021,460,015",North Side-South Side                                                      
Runaway & Homeless Youth,Drop-In Center,"Safe Horizon, Inc",Manhattan,"Safe Horizon, Inc",212.695.2220 or 800.708.6600,,"209 125th Street
Manhattan, NEW YORK 10027
(40.809154206199, -73.948683474836)",209 West 125th Street ,10027,40.80919,-73.94882,10,9,222,"1,058,660","1,019,310,027",Central Harlem South                                                       
Runaway & Homeless Youth,Street Outreach,La Asociacion Benefica Cultural Father Billini,Queens,La Asociacion Benefica Cultural Father Billini,718.651.8427,,"104 11 37th Avenue
Queens, NEW YORK 11368
(40.749678220374, -73.853040688577)",104- 11 37th Avenue,11368,40.753535,-73.863451,3,21,379,"4,043,421","4,017,460,035",North Corona                                                               
Runaway & Homeless Youth,Crisis Shelter,Ali Forney Center,Brooklyn,Ali Forney Center,212.206.0574,,"216 23rd Street
Brooklyn, NEW YORK 11232
(40.66061430242, -73.99529162858)",216 23rd Street,11232,40.660694,-73.995379,7,38,145,"3,322,574","3,006,490,027",Sunset Park West                                                           
Runaway & Homeless Youth,Drop-In Center,"Bronx Community Pride Center, Inc.",Bronx,"Bronx Community Pride Center, Inc.",718.292.4368,,"448 149th Street
Bronx, NEW YORK 10455
(40.815410316439, -73.916173136181)",448 East 149th Street,10455,40.815377,-73.916026,1,8,43,"2,000,538","2,022,930,053",Mott Haven-Port Morris                                                     
Runaway & Homeless Youth,Crisis Shelter,Ali Forney Center,Brooklyn,Ali Forney Center,212.206.0574,,"241 Taffee Place
Brooklyn, NEW YORK 11205
(40.691595783202, -73.959639288816)",241 Taffee Place,11205,40.69159578,-73.95963929,,,,,,
Runaway & Homeless Youth,Drop-In Center,Seamans Society for Children and Families ,Staten Island,Seamans Society for Children and Families,718.447.7740 ext. 248,,"50 Bay Street Staten Island
NEW YORK 10301
(40.639476445583, -74.073315295103)",50 Bay Street,10301,40.640901,-74.075766,1,49,3,"5,000,034","5,000,050,099",West New Brighton-New Brighton-St. George                                  
Runaway & Homeless Youth,Transportation,"Safe Horizon, Inc",Manhattan,"Safe Horizon, Inc",212.695.2220,,"209 125th Street
Manhattan, NEW YORK 10027
(40.809154206199, -73.948683474836)",209 West 125th Street ,10027,40.80919,-73.94882,10,9,222,"1,058,660","1,019,310,027",Central Harlem South                                                       
Runaway & Homeless Youth,Crisis Shelter,Covenant House New York / Under 21,Manhattan,Covenant House New York,212.613.0300 ext. 0531,,"460 41st Street
Manhattan, NEW YORK 10036
(40.758694165955, -73.995342861638)",460 West 41st Street,10036,40.758655,-73.995116,4,3,115,"1,080,922","1,010,500,001",Clinton                                                                    
Runaway & Homeless Youth,Crisis Shelter,Safe Horizon,Manhattan,"Safe Horizon, Inc",212.268.3943,,"165 131st Street
Manhattan, NEW YORK 10027
(40.812343779054, -73.944496017976)",165 West 131st Street,10027,40.81232,-73.94449,10,9,226,"1,000,000",0,Central Harlem North-Polo Grounds                                          
Runaway & Homeless Youth,Crisis Shelter,Covenant House New York / Under 21,Manhattan,Covenant House New York,212.613.0300 ext. 0532,,"427 52nd Street
Manhattan, NEW YORK 10019
(40.765275890612, -73.989246802283)",427 West 52nd Street,10019,40.765146,-73.988982,4,3,133,"1,080,953","1,010,620,017",Clinton                                                                    
Runaway & Homeless Youth,Drop-In Center,"Safe Space NYC, Inc",Queens,"Safe Space NYC, Inc",718.526.2400,,"89 31
Queens, NEW YORK 11432
(40.71311535449, -73.792820999789)",89-31 161St ,11432,40.71311535,-73.792821,,,,,,
Runaway & Homeless Youth Sreeet Outreach,Street Outreach,Greenwich Village Youth Council,Manhattan,Greenwich Village Youth Council,646.209.1264,,"2273 3rd Avenue
Manhattan, NEW YORK 10037
(40.813297761083, -73.937282525568)",2273 3rd Avenue,10037,40.802707,-73.93653,11,8,194,"1,054,659","1,017,880,050",East Harlem North                                                          
