Borough,Name,Address,Zip Code,Contact,Latitude,Longitude,Community Board,Council District ,Census Tract,BIN,BBL,NTA,
Bronx,Crotona,1910 Monterey Avenue,10457,929-252-7436,40.846932,-73.895099,6,15,37504,2011826,2030600032,East Tremont,
Bronx,Concourse,"1375 Jerome Avenue, 2nd Fl.",10452,929-252-8998,40.839771,-73.918359,4,16,219,2008289,2028560020,Highbridge,
Bronx,Hunts Point,"845 Barretto Street, B-Level Fl.",10474,929-252-4445,40.817656,-73.890358,2,17,93,2005939,2027390015,Hunts Point,
Brooklyn,Coney Island,"2857-2865 West 8th Street, 1st Fl.",11224,929-221-3537,40.578507,-73.976313,13,48,354,3345783,3072790162,West Brighton,
Brooklyn,Williamsburg,"30 Thornton Street, 4th Fl.",11206,212-331-4314 | 718-963-5142,40.701103,-73.94354,1,33,507,3061504,3022760012,Bedford,
Brooklyn,East New York,"404 Pine Street, 1st Fl.",11208,929-221-3537,40.67588,-73.871091,5,42,1196,3094690,3042140001,East New York,
Manhattan,Waverly,"12 West 14th St, 4th Fl.",10011,212-352-2524,40.736301,-73.994342,2,3,63,1009716,1005770034,West Village,
Manhattan,St. Nicholas,"132 W.125th Street, 3rd Fl.",10027,212-666-8788,40.808451,-73.947112,10,9,222,1057820,1019090012,Central Harlem South,
Manhattan,East End,"2322 Third Avenue, 3rd Fl.",10035,212-860-5147,40.804468,-73.935267,11,9,242,1054497,1017750033,East Harlem North,
Manhattan,Washington Heights,"4055 10th Avenue, Lower Level",10034,212-569-9835,40.870388,-73.914561,12,10,301,1064513,1022130001,Marble Hill-Inwood,
Queens,Jamaica,"165-08 88th Avenue, 3rd Fl.",11432,929-252-3713,40.708661,-73.796703,12,27,460,4210062,4098150056,Jamaica,
Queens,Rockaway,"219 Beach 59th Street, 1st Fl.",11692,718-637-2750,40.592902,-73.789051,14,31,964,4301932,4159000008,Hammels-Arverne-Edgemere,
Queens,Queens,"32-20 Northern Blvd., 2nd Fl.",11101,718-784-6315,40.75197,-73.931799,1,26,171,4003105,4002147501,Hunters Point-Sunnyside-West Maspeth,
Staten Island,Richmond,"201 Bay Street, 2nd Fl.",10301,718-390-6994,40.636992,-74.076212,1,49,21,5013238,5004970009,Stapleton-Rosebank,
Manhattan,Mainchance,"120 East 32nd Street
",10016,(212) 883-0680,40.745377,-73.981306,5,2,72,1018469,1008870087,Murray Hill-Kips Bay                                                       ,
