"School","Total_Students","Temp_Housing","Percentage","Shelter","DHS_Shelter","Non_DHS_Shelter","Doubled_Up","Year"
"P.S. 015 Roberto Clemente","184",67,0.364,31,23,8,35,2019
"P.S. 019 Asher Levy","258",35,0.136,20,NA,NA,15,2019
"P.S. 020 Anna Silver","497",73,0.147,36,24,12,34,2019
"P.S. 034 Franklin D. Roosevelt","316",76,0.241,50,40,10,26,2019
"The STAR Academy - P.S.63","239",60,0.251,21,NA,NA,38,2019
"P.S. 064 Robert Simon","235",49,0.209,20,NA,NA,29,2019
"P.S. 110 Florence Nightingale","368",49,0.133,14,NA,NA,34,2019
"P.S. 134 Henrietta Szold","301",61,0.203,36,27,9,21,2019
"P.S. 140 Nathan Straus","388",81,0.209,27,19,8,52,2019
"P.S. 142 Amalia Castro","356",97,0.272,33,NA,NA,60,2019
"P.S. 184m Shuang Wen","690",90,0.13,NA,NA,NA,84,2019
"P.S. 188 The Island School","436",172,0.394,102,83,19,64,2019
"Orchard Collegiate Academy","198",24,0.121,10,NA,NA,10,2019
"The East Village Community School","342",10,0.029,NA,NA,NA,6,2019
"University Neighborhood Middle School","214",33,0.154,11,NA,NA,20,2019
"The Children's Workshop School","326",31,0.095,10,NA,NA,20,2019
"Neighborhood School","307",8,0.026,NA,NA,NA,NA,2019
"Earth School","353",51,0.144,9,NA,NA,40,2019
"School for Global Leaders","275",38,0.138,19,13,6,13,2019
"University Neighborhood High School","496",55,0.111,12,6,6,41,2019
"East Side Community School","677",56,0.083,13,7,6,41,2019
"Forsyth Satellite Academy","228",28,0.123,17,8,9,NA,2019
"Marta Valle High School","125",6,0.048,6,NA,NA,NA,2019
"Lower East Side Preparatory High School","659",97,0.147,18,NA,NA,73,2019
"New Explorations into Science, Technology and Math","1772",10,0.006,NA,NA,NA,10,2019
"Cascades High School","235",29,0.123,20,9,11,6,2019
"Bard High School Early College","613",12,0.02,NA,NA,NA,8,2019
"Universal Pre-K C.B.O.","298",31,0.104,18,NA,NA,13,2019
"Tompkins Square Middle School","363",23,0.063,NA,NA,NA,14,2019
"P.S. 001 Alfred E. Smith","305",11,0.036,7,NA,NA,NA,2019
"P.S. 002 Meyer London","503",96,0.191,30,NA,NA,66,2019
"P.S. 003 Charrette School","746",6,0.008,NA,NA,NA,6,2019
"P.S. 011 William T. Harris","921",57,0.062,27,21,6,28,2019
"P.S. 033 Chelsea Prep","647",100,0.155,71,64,7,28,2019
"P.S. 040 Augustus Saint-Gaudens","756",8,0.011,NA,NA,NA,8,2019
"P.S. 042 Benjamin Altman","580",21,0.036,NA,NA,NA,17,2019
"47 The American Sign Language and English Secondar","198",20,0.101,14,7,7,6,2019
"P.S. 051 Elias Howe","520",103,0.198,58,NA,NA,43,2019
"P.S. 059 Beekman Hill International","619",8,0.013,NA,NA,NA,NA,2019
"J.H.S. 104 Simon Baruch","1147",60,0.052,24,17,7,33,2019
"P.S. 111 Adolph S. Ochs","440",82,0.186,66,NA,NA,16,2019
"P.S. 116 Mary Lindley Murray","523",58,0.111,44,NA,NA,13,2019
"P.S. 124 Yung Wing","675",35,0.052,NA,NA,NA,30,2019
"P.S. 126 Jacob August Riis","725",175,0.241,10,NA,NA,165,2019
"P.S. 130 Hernando De Soto","872",8,0.009,NA,NA,NA,6,2019
"M.S. 131","410",64,0.156,7,NA,NA,56,2019
"The Urban Assembly School for Emergency Management","264",35,0.133,15,8,7,11,2019
"Stephen T. Mather Building Arts & Craftsmanship Hi","400",25,0.063,16,9,7,8,2019
"Yorkville Community School","500",39,0.078,NA,NA,NA,28,2019
"P.S. 158 Bayard Taylor","816",9,0.011,NA,NA,NA,6,2019
"J.H.S. 167 Robert F. Wagner","1405",48,0.034,9,NA,NA,34,2019
"Yorkville East Middle School","233",6,0.026,NA,NA,NA,NA,2019
"P.S. 198 Isador E. Ida Straus","499",11,0.022,6,NA,NA,NA,2019
"P.S. 212 Midtown West","368",10,0.027,NA,NA,NA,NA,2019
"P.S./I.S. 217 Roosevelt Island","653",15,0.023,NA,NA,NA,12,2019
"Ella Baker School","328",16,0.049,9,NA,NA,6,2019
"The Clinton School","730",8,0.011,NA,NA,NA,8,2019
"East Side Elementary School, PS 267","440",10,0.023,NA,NA,NA,NA,2019
"Battery Park City School","874",13,0.015,NA,NA,NA,8,2019
"Manhattan Early College School for Advertising","417",32,0.077,11,NA,NA,18,2019
"The River School","366",17,0.046,NA,NA,NA,12,2019
"Urban Assembly Maker Academy","404",28,0.069,13,NA,NA,14,2019
"Food and Finance High School","373",15,0.04,11,NA,NA,NA,2019
"I.S. 289","286",19,0.066,NA,NA,NA,12,2019
"Essex Street Academy","333",13,0.039,6,NA,NA,6,2019
"High School of Hospitality Management","379",38,0.1,19,13,6,16,2019
"M.S. 297","576",39,0.068,22,NA,NA,11,2019
"Pace High School","581",46,0.079,18,9,9,23,2019
"Urban Assembly School of Design and Construction,","305",45,0.148,20,11,9,21,2019
"Facing History School, The","375",47,0.125,21,NA,NA,22,2019
"Urban Assembly Academy of Government and Law, The","304",24,0.079,10,NA,NA,13,2019
"Lower Manhattan Arts Academy","293",35,0.119,14,NA,NA,19,2019
"James Baldwin School, The: A School for Expedition","258",15,0.058,NA,NA,NA,8,2019
"Urban Assembly School of Business for Young Women,","186",18,0.097,6,NA,NA,9,2019
"The 47 American Sign Language & English Lower Scho","207",42,0.203,22,15,7,15,2019
"Gramercy Arts High School","449",40,0.089,15,9,6,20,2019
"NYC iSchool","466",17,0.036,NA,NA,NA,9,2019
"District 2 Pre-K Center","545",17,0.031,9,NA,NA,6,2019
"MANHATTAN BUSINESS ACADEMY","421",47,0.112,22,15,7,22,2019
"Business Of Sports School","441",57,0.129,21,NA,NA,31,2019
"Emma Lazarus High School","384",7,0.018,NA,NA,NA,NA,2019
