PRECINCT,CRIME_COUNT_2021,MURDER ,ROBBERY,RAPE,SEX_CRIMES,DANGEROUS_WEAPONS,DANGEROUS_DRUGS,Population,CRIME_RATE,Phone
1,1753,9,89,3,20,31,24,84799,2.07%,212-334-0611
5,2427,34,97,57,159,73,113,50598,4.80%,212-334-0711
6,1430,5,155,4,17,36,166,64643,2.21%,212-741-4811
7,1621,9,82,0,20,42,69,57985,2.80%,212-477-7311
9,1667,6,71,5,23,62,143,75951,2.19%,212-477-7811
10,1495,4,109,1,16,26,67,65570,2.28%,212-741-8211
13,2037,2,123,4,27,32,61,100050,2.04%,212-477-7411
14,4759,16,264,2,75,121,700,28050,16.97%,212-239-9811
17,939,3,36,1,17,18,7,89367,1.05%,212-826-3211
18,2421,3,109,0,39,48,59,67528,3.59%,212-767-8400
19,1549,5,88,4,18,19,8,220261,0.70%,212-452-0600
20,999,5,62,0,15,21,20,114575,0.87%,212-580-6411
22,50,0,7,1,0,5,1,129,38.76%,212-570-4820
23,1863,47,97,3,37,91,94,74769,2.49%,212-860-6411
24,1501,11,105,4,18,42,52,107489,1.40%,212-678-1811
25,2909,34,112,7,77,185,740,50996,5.70%,212-860-6511
26,1005,8,44,2,15,33,46,50002,2.01%,212-678-1311
28,1920,25,67,2,21,77,377,49200,3.90%,212-678-1611
30,1473,19,61,1,20,54,171,60456,2.44%,212-690-8811
32,2349,69,109,2,36,128,203,81240,2.89%,212-690-6311
33,2048,16,120,2,27,35,156,71598,2.86%,212-927-3200
34,1412,48,81,0,26,73,134,108608,1.30%,212-927-9711
40,4066,74,212,10,71,227,486,100929,4.03%,718-402-2270
41,2030,30,191,80,149,86,130,54454,3.73%,718-542-4771
42,3070,40,179,8,40,222,280,93755,3.27%,718-402-3887
43,3412,26,273,14,62,154,149,188015,1.81%,718-542-0888
44,4380,40,233,8,92,214,327,150436,2.91%,718-590-5511
45,1501,13,61,2,46,44,61,130799,1.15%,718-822-5411
46,3273,61,167,17,98,149,269,132584,2.47%,718-220-5211
47,3489,70,173,5,71,223,139,163539,2.13%,718-920-1211
48,2510,58,138,6,35,146,256,89216,2.81%,718-299-3900
49,1674,20,189,6,26,51,40,119881,1.40%,718-918-2000
50,1321,17,53,3,15,44,54,106976,1.23%,718-543-5700
52,3275,21,179,10,49,188,355,146888,2.23%,718-220-5811
60,2333,14,133,3,28,76,158,109024,2.14%,718-946-3311
61,1483,4,67,2,35,48,76,169513,0.87%,718-627-6611
62,1503,5,53,1,48,30,96,198870,0.76%,718-236-2611
63,1492,13,63,2,21,66,29,112652,1.32%,718-258-4411
66,1130,2,41,2,43,15,19,205377,0.55%,718-851-5611
67,3019,22,138,5,55,301,90,162446,1.86%,718-287-3211
68,1444,2,29,2,28,76,169,136071,1.06%,718-439-4211
69,1384,9,24,2,17,117,48,90763,1.52%,718-257-6211
70,1974,18,77,3,37,119,86,164568,1.20%,718-851-5511
71,1894,18,60,4,20,140,78,102000,1.86%,718-735-0511
72,2049,15,119,6,30,67,164,133230,1.54%,718-965-6311
73,2578,24,127,7,50,345,148,98506,2.62%,718-495-5411
75,4247,40,381,7,59,347,203,200994,2.11%,718-827-3511
76,772,7,26,1,4,36,88,47789,1.62%,718-834-3211
77,1894,28,168,86,162,144,81,101267,1.87%,718-735-0611
78,944,1,45,0,20,14,23,73203,1.29%,718-636-6411
79,2489,28,128,1,29,198,191,106039,2.35%,718-636-6611
81,1430,25,91,0,10,137,129,68921,2.07%,718-574-0411
83,1994,22,124,3,24,69,235,120747,1.65%,718-574-1605
84,1936,51,63,12,130,47,63,65597,2.95%,718-875-6811
88,873,5,68,2,19,51,52,64372,1.36%,718-636-6511
90,1676,14,71,2,17,88,91,131377,1.28%,718-963-5311
94,986,6,37,2,12,18,21,72748,1.36%,718-383-3879
100,827,6,19,0,20,47,42,50809,1.63%,718-318-4200
101,1486,31,64,5,38,75,66,73376,2.03%,718-868-3400
102,2208,21,69,4,97,55,95,153297,1.44%,718-805-3200
103,3241,47,162,4,113,165,429,121059,2.68%,718-657-8181
104,1895,3,76,2,45,28,66,178948,1.06%,718-386-3004
105,2136,22,97,8,48,112,54,199218,1.07%,718-776-9090
106,1918,15,98,1,52,74,49,129391,1.48%,718-845-2211
107,1638,10,109,5,50,31,33,161402,1.01%,718-969-5100
108,1524,11,47,5,58,24,36,137962,1.10%,718-784-5411
109,2517,11,147,1,56,44,92,269581,0.93%,718-321-2250
110,2379,15,124,7,95,73,72,181051,1.31%,718-476-9311
111,698,2,12,1,22,16,13,122211,0.57%,718-279-5200
112,1385,0,41,86,193,16,22,119739,1.16%,718-520-9311
113,3218,36,95,5,50,286,88,135221,2.38%,718-712-7733
114,3459,23,120,9,58,125,211,208525,1.66%,718-626-9311
115,2514,7,126,5,96,226,106,179134,1.40%,718-533-2002
120,2896,26,109,24,62,134,347,122308,2.37%,718-876-8500
121,2174,1,40,4,20,81,144,128149,1.70%,718-697-8700
122,1341,3,19,1,29,27,134,144552,0.93%,718-667-2211
123,798,2,5,0,9,18,56,100738,0.79%,718-948-9311
